city,lat,lng,temp_max,humidity,cloudiness,wind speed,country,date
fortuna,40.6,-124.16,66.99,59,1,10.29,US,1604269302
nikolskoye,59.7,30.79,33.8,100,90,8.95,RU,1604269594
port alfred,-33.59,26.89,65.28,84,27,19.26,ZA,1604269476
arraial do cabo,-22.97,-42.03,71.6,64,75,14.99,BR,1604269595
umm bab,25.21,50.81,78.01,69,1,3.36,QA,1604269597
thompson,55.74,-97.86,24.8,85,75,9.17,CA,1604269589
tilichiki,60.47,166.1,25.93,96,46,5.19,RU,1604269528
guerrero negro,27.98,-114.06,80.01,38,14,11.16,MX,1604269598
airai,-8.93,125.41,63.01,74,96,2.37,TL,1604269534
muborak,39.26,65.15,52.92,32,78,5.95,UZ,1604269599
mar del plata,-38.0,-57.56,61.0,67,0,8.05,AR,1604269517
yerbogachen,61.28,108.01,6.49,93,0,8.72,RU,1604269600
seoul,37.57,126.98,42.8,100,1,2.3,KR,1604269319
rikitea,-23.12,-134.97,74.8,85,83,22.32,PF,1604269601
bluff,-46.6,168.33,53.01,73,97,11.99,NZ,1604269601
cidreira,-30.18,-50.21,63.01,65,16,7.2,BR,1604269602
ushuaia,-54.8,-68.3,59.0,54,75,18.34,AR,1604269403
bandarbeyla,9.49,50.81,76.95,77,0,19.13,SO,1604269602
tabat,-2.63,115.23,73.67,96,100,1.48,ID,1604269603
atar,20.52,-13.05,82.94,17,100,7.92,MR,1604269604
butaritari,3.07,172.79,82.06,78,0,10.22,KI,1604269604
port augusta,-32.5,137.77,75.2,44,9,8.05,AU,1604269604
jamestown,42.1,-79.24,35.01,96,90,19.46,US,1604269381
north bend,43.41,-124.22,64.99,72,1,6.93,US,1604269584
saint george,37.1,-113.58,81.0,10,1,3.13,US,1604269503
vaini,-21.2,-175.2,78.8,78,75,12.75,TO,1604269607
mataura,-46.19,168.86,53.01,73,40,11.99,NZ,1604269509
gillette,44.29,-105.5,62.6,20,1,5.82,US,1604269348
souillac,-20.52,57.52,69.8,68,40,9.17,MU,1604269609
bengkulu,-3.8,102.27,75.07,85,99,3.83,ID,1604269609
bethel,41.37,-73.41,52.0,93,90,4.7,US,1604269425
golega,39.4,-8.49,64.99,99,99,1.99,PT,1604269610
tuktoyaktuk,69.45,-133.04,12.2,92,90,17.22,CA,1604269611
georgetown,5.41,100.34,78.8,88,20,3.36,MY,1604269612
cape town,-33.93,18.42,66.99,72,0,8.05,ZA,1604269405
bairiki,1.33,172.98,86.0,70,40,9.17,KI,1604269339
nanortalik,60.14,-45.24,31.41,86,0,34.14,GL,1604269613
altay,47.87,88.12,29.46,78,0,3.67,CN,1604269613
puerto leguizamo,-0.19,-74.78,78.58,88,92,1.7,CO,1604269613
hilo,19.73,-155.09,84.2,62,90,6.93,US,1604269226
marsa matruh,31.35,27.25,64.4,88,40,5.82,EG,1604269614
college,64.86,-147.8,1.99,70,75,1.57,US,1604269615
mahebourg,-20.41,57.7,69.8,68,40,9.17,MU,1604269616
barrow,71.29,-156.79,28.4,86,75,24.16,US,1604269616
sola,-13.88,167.55,84.2,83,75,5.82,VU,1604269616
hindaun,26.72,77.02,62.87,27,0,3.36,IN,1604269617
